Title,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Summary,Reviews,Plays,Playing,Backlogs,Wishlist,Rank,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
bloodborne,2015-03-24,fromsoftware sony computer entertainment,4.5,3400.0,3400.0,adventure rpg,"an action rpg in which the player embodies a hunter who after being transfused with the mysterious blood local to the city of yharnam sets off into a ""night of the hunt"" an extended night in which hunters may phase in and out of dream and reality in order to thin the outbreak of abominable beasts that plague the land and for the more resilient and insightful hunters uncover the answers to the hunts many mysteries.","""im not trying to brag but bloodborne wasnt much of a challenge for me. the beginning was a little hard since bloodbornes mechanics are quite different compared to the dark souls trilogy but a few tries and deaths are enough for someone to get used to the way you play."" my favourite in the soulsborne series. i have a very conflicting opinion of this game that may require me to go back for another playthrough. brilliant incredible amazing show stopping spectacular. perfect the greatest game of all time.",17000.0,1100.0,5600.0,3300.0,662,PS4,2015.0,Action,Sony Computer Entertainment,1.0,0.76,0.26,0.36,2.38
metal gear rising revengeance,2013-02-19,konami platinumgames,4.1,2100.0,2100.0,adventure brawler shooter strategy,"developed by kojima productions and platinumgames metal gear rising revengeance takes the renowned metal gear franchise into exciting new territory with an allnew action experience. the game seamlessly melds pure action and epic storytelling that surrounds raiden – a child soldier transformed into a halfhuman halfcyborg ninja who uses his high frequency katana blade to cut through any thing that stands in his vengeful path!
             

              a huge success on both xbox 360 and playstation3 metal gear rising revengeance comes to pc with all the famed moves and action running within a beautifullyrealized hd environment.
             

              this new pc version includes all three dlc missions blade wolf jetstream and vr missions in addition to all customized body upgrades for raiden including white armor inferno armor commando armor raiden’s mgs4 body and the everpopular cyborg ninja.
             

              ""cutscenes"" option added to the main menu. play any and all cutscenes.
             

              ""codecs"" option added to the main menu. play all and any codec conversation scenes.
             

              menu option added to the chapter menu enabling user to play only the boss battles.
             

              ""graphic options"" added to the options menu. modify resolution antialiasing etc.
              
              there is an option reading ""zangeki"" that will modify the amount of cuts you can make.",this game is so jank but so entertaining rules of nature metal gear rising revengeance review  memes raiden. memes. quando ganhei meu xbox 360 em 2014 esse jogo veio junto e meu deus eu joguei essa bagaça minha vida inteira e ainda jogo até hoje. lembro de na época ninguém gostar tanto do jogo principalmente por fugir muito do resto da franquia mas mano é um spin off tá ligado? sei que é meio chato ver sua franquia mudando mas a maestria que esse jogo faz junto com a continuação da história do raiden que já era um personagem não muito gostado e mais um motivo pra não gostarem do jogo faz ele ser um dos jogos mais importantes pra mim. espero um dia platinar mas se eu não consegui em 9 anos acho difícil. brasileiros dão pulo duplo feel like i would have enjoyed this game much more if hack n slash was my kind of game,14000.0,492.0,4200.0,2000.0,1293,PS3,2013.0,Action,Konami Digital Entertainment,0.45,0.4,0.44,0.18,1.47
metal gear rising revengeance,2013-02-19,konami platinumgames,4.1,2100.0,2100.0,adventure brawler shooter strategy,"developed by kojima productions and platinumgames metal gear rising revengeance takes the renowned metal gear franchise into exciting new territory with an allnew action experience. the game seamlessly melds pure action and epic storytelling that surrounds raiden – a child soldier transformed into a halfhuman halfcyborg ninja who uses his high frequency katana blade to cut through any thing that stands in his vengeful path!
             

              a huge success on both xbox 360 and playstation3 metal gear rising revengeance comes to pc with all the famed moves and action running within a beautifullyrealized hd environment.
             

              this new pc version includes all three dlc missions blade wolf jetstream and vr missions in addition to all customized body upgrades for raiden including white armor inferno armor commando armor raiden’s mgs4 body and the everpopular cyborg ninja.
             

              ""cutscenes"" option added to the main menu. play any and all cutscenes.
             

              ""codecs"" option added to the main menu. play all and any codec conversation scenes.
             

              menu option added to the chapter menu enabling user to play only the boss battles.
             

              ""graphic options"" added to the options menu. modify resolution antialiasing etc.
              
              there is an option reading ""zangeki"" that will modify the amount of cuts you can make.",this game is so jank but so entertaining rules of nature metal gear rising revengeance review  memes raiden. memes. quando ganhei meu xbox 360 em 2014 esse jogo veio junto e meu deus eu joguei essa bagaça minha vida inteira e ainda jogo até hoje. lembro de na época ninguém gostar tanto do jogo principalmente por fugir muito do resto da franquia mas mano é um spin off tá ligado? sei que é meio chato ver sua franquia mudando mas a maestria que esse jogo faz junto com a continuação da história do raiden que já era um personagem não muito gostado e mais um motivo pra não gostarem do jogo faz ele ser um dos jogos mais importantes pra mim. espero um dia platinar mas se eu não consegui em 9 anos acho difícil. brasileiros dão pulo duplo feel like i would have enjoyed this game much more if hack n slash was my kind of game,14000.0,492.0,4200.0,2000.0,3994,X360,2013.0,Action,Konami Digital Entertainment,0.29,0.16,0.0,0.04,0.5
grand theft auto v,2013-09-17,rockstar north rockstar games,3.8,2100.0,2100.0,adventure shooter,grand theft auto v is a vast open world game set in los santos a sprawling sunsoaked metropolis struggling to stay afloat in an era of economic uncertainty and cheap reality tv. the game blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the game’s three lead characters playing all sides of the game’s interwoven story.,people be rating this a 3.... bitch be serious! incredible spectacle and movie esque cutscenes backed up by memorable characters. inarguably one of the most recognizable games of the decade however is held back by lackluster gameplay. bom jogo importante pra caramba e tudo mais mas sinceramente tantas horas de gameplay me divertiram muito mas me recepcionaram na história. não que eu eu esperasse algo muito elaborado mas senti que não foi conclusiva ou evoluísse os personagens. é divertido muito mesmo e a liberdade é ótima. passei muito tempo jogando tênis dirigindo pelas colinas fazendo coisas aleatórias e a experiência é ótima. em pleno começo de 2023 talvez não seja lá grande coisa jogar um jogo assim no sentido de muita coisa legal pra fazer mas na época era uma baita inovação e merece respeito pelo que até hoje impressiona. i cannot picture a world where someone gives this less than a 10 i really wanted to love this game more. the playing world is stunning with colorful and great recreations of actual locations and landmarks. having to juggle between 3 characters is a brilliant idea. but i found the story to be a bit lackluster and overall i did not feel as involved with the protagonists as much as i was with the previous game. jogo para desligar o cérebro e matar polícias,30000.0,829.0,3200.0,664.0,17,PS3,2013.0,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4
grand theft auto v,2013-09-17,rockstar north rockstar games,3.8,2100.0,2100.0,adventure shooter,grand theft auto v is a vast open world game set in los santos a sprawling sunsoaked metropolis struggling to stay afloat in an era of economic uncertainty and cheap reality tv. the game blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the game’s three lead characters playing all sides of the game’s interwoven story.,people be rating this a 3.... bitch be serious! incredible spectacle and movie esque cutscenes backed up by memorable characters. inarguably one of the most recognizable games of the decade however is held back by lackluster gameplay. bom jogo importante pra caramba e tudo mais mas sinceramente tantas horas de gameplay me divertiram muito mas me recepcionaram na história. não que eu eu esperasse algo muito elaborado mas senti que não foi conclusiva ou evoluísse os personagens. é divertido muito mesmo e a liberdade é ótima. passei muito tempo jogando tênis dirigindo pelas colinas fazendo coisas aleatórias e a experiência é ótima. em pleno começo de 2023 talvez não seja lá grande coisa jogar um jogo assim no sentido de muita coisa legal pra fazer mas na época era uma baita inovação e merece respeito pelo que até hoje impressiona. i cannot picture a world where someone gives this less than a 10 i really wanted to love this game more. the playing world is stunning with colorful and great recreations of actual locations and landmarks. having to juggle between 3 characters is a brilliant idea. but i found the story to be a bit lackluster and overall i did not feel as involved with the protagonists as much as i was with the previous game. jogo para desligar o cérebro e matar polícias,30000.0,829.0,3200.0,664.0,24,X360,2013.0,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38
grand theft auto v,2013-09-17,rockstar north rockstar games,3.8,2100.0,2100.0,adventure shooter,grand theft auto v is a vast open world game set in los santos a sprawling sunsoaked metropolis struggling to stay afloat in an era of economic uncertainty and cheap reality tv. the game blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the game’s three lead characters playing all sides of the game’s interwoven story.,people be rating this a 3.... bitch be serious! incredible spectacle and movie esque cutscenes backed up by memorable characters. inarguably one of the most recognizable games of the decade however is held back by lackluster gameplay. bom jogo importante pra caramba e tudo mais mas sinceramente tantas horas de gameplay me divertiram muito mas me recepcionaram na história. não que eu eu esperasse algo muito elaborado mas senti que não foi conclusiva ou evoluísse os personagens. é divertido muito mesmo e a liberdade é ótima. passei muito tempo jogando tênis dirigindo pelas colinas fazendo coisas aleatórias e a experiência é ótima. em pleno começo de 2023 talvez não seja lá grande coisa jogar um jogo assim no sentido de muita coisa legal pra fazer mas na época era uma baita inovação e merece respeito pelo que até hoje impressiona. i cannot picture a world where someone gives this less than a 10 i really wanted to love this game more. the playing world is stunning with colorful and great recreations of actual locations and landmarks. having to juggle between 3 characters is a brilliant idea. but i found the story to be a bit lackluster and overall i did not feel as involved with the protagonists as much as i was with the previous game. jogo para desligar o cérebro e matar polícias,30000.0,829.0,3200.0,664.0,45,PS4,2014.0,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98
grand theft auto v,2013-09-17,rockstar north rockstar games,3.8,2100.0,2100.0,adventure shooter,grand theft auto v is a vast open world game set in los santos a sprawling sunsoaked metropolis struggling to stay afloat in an era of economic uncertainty and cheap reality tv. the game blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the game’s three lead characters playing all sides of the game’s interwoven story.,people be rating this a 3.... bitch be serious! incredible spectacle and movie esque cutscenes backed up by memorable characters. inarguably one of the most recognizable games of the decade however is held back by lackluster gameplay. bom jogo importante pra caramba e tudo mais mas sinceramente tantas horas de gameplay me divertiram muito mas me recepcionaram na história. não que eu eu esperasse algo muito elaborado mas senti que não foi conclusiva ou evoluísse os personagens. é divertido muito mesmo e a liberdade é ótima. passei muito tempo jogando tênis dirigindo pelas colinas fazendo coisas aleatórias e a experiência é ótima. em pleno começo de 2023 talvez não seja lá grande coisa jogar um jogo assim no sentido de muita coisa legal pra fazer mas na época era uma baita inovação e merece respeito pelo que até hoje impressiona. i cannot picture a world where someone gives this less than a 10 i really wanted to love this game more. the playing world is stunning with colorful and great recreations of actual locations and landmarks. having to juggle between 3 characters is a brilliant idea. but i found the story to be a bit lackluster and overall i did not feel as involved with the protagonists as much as i was with the previous game. jogo para desligar o cérebro e matar polícias,30000.0,829.0,3200.0,664.0,198,XOne,2014.0,Action,Take-Two Interactive,2.66,2.01,0.0,0.41,5.08
grand theft auto v,2013-09-17,rockstar north rockstar games,3.8,2100.0,2100.0,adventure shooter,grand theft auto v is a vast open world game set in los santos a sprawling sunsoaked metropolis struggling to stay afloat in an era of economic uncertainty and cheap reality tv. the game blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the game’s three lead characters playing all sides of the game’s interwoven story.,people be rating this a 3.... bitch be serious! incredible spectacle and movie esque cutscenes backed up by memorable characters. inarguably one of the most recognizable games of the decade however is held back by lackluster gameplay. bom jogo importante pra caramba e tudo mais mas sinceramente tantas horas de gameplay me divertiram muito mas me recepcionaram na história. não que eu eu esperasse algo muito elaborado mas senti que não foi conclusiva ou evoluísse os personagens. é divertido muito mesmo e a liberdade é ótima. passei muito tempo jogando tênis dirigindo pelas colinas fazendo coisas aleatórias e a experiência é ótima. em pleno começo de 2023 talvez não seja lá grande coisa jogar um jogo assim no sentido de muita coisa legal pra fazer mas na época era uma baita inovação e merece respeito pelo que até hoje impressiona. i cannot picture a world where someone gives this less than a 10 i really wanted to love this game more. the playing world is stunning with colorful and great recreations of actual locations and landmarks. having to juggle between 3 characters is a brilliant idea. but i found the story to be a bit lackluster and overall i did not feel as involved with the protagonists as much as i was with the previous game. jogo para desligar o cérebro e matar polícias,30000.0,829.0,3200.0,664.0,1898,PC,2015.0,Action,Take-Two Interactive,0.36,0.64,0.0,0.08,1.08
dark souls iii,2016-03-24,bandai namco entertainment fromsoftware,4.2,2400.0,2400.0,adventure rpg,dark souls continues to push the boundaries with the latest ambitious chapter in the criticallyacclaimed and genredefining series. prepare yourself and embrace the darkness!,"the only soulsborne game i dont ever want to replay. ""finally beat this one after 5 years. not as enjoyable as the other soulslike for me and i cant really put my finger on it. but it was still dark souls so overall a good time!"" meh a mi parece el peor... me parece re poco rejugable y aburrid perfect. lacks a bit of the soul/charm that made ds1 an instant classic but it has some of the best areas in the series and is by far the most consistent game from has ever made from a boss standpoint until sekiro released this was fun.. we played so many times",19000.0,851.0,4300.0,2200.0,1191,PS4,2016.0,Role-Playing,Namco Bandai Games,0.58,0.44,0.33,0.21,1.56
dark souls iii,2016-03-24,bandai namco entertainment fromsoftware,4.2,2400.0,2400.0,adventure rpg,dark souls continues to push the boundaries with the latest ambitious chapter in the criticallyacclaimed and genredefining series. prepare yourself and embrace the darkness!,"the only soulsborne game i dont ever want to replay. ""finally beat this one after 5 years. not as enjoyable as the other soulslike for me and i cant really put my finger on it. but it was still dark souls so overall a good time!"" meh a mi parece el peor... me parece re poco rejugable y aburrid perfect. lacks a bit of the soul/charm that made ds1 an instant classic but it has some of the best areas in the series and is by far the most consistent game from has ever made from a boss standpoint until sekiro released this was fun.. we played so many times",19000.0,851.0,4300.0,2200.0,5270,XOne,2016.0,Role-Playing,Namco Bandai Games,0.23,0.09,0.0,0.03,0.35
